Autor;Título;Catálogo;Descripción;Instrumentación;Fecha;Letras;Comentarios;Edición;Editor;Estreno;URL
Bach, Johann Sebastian (1685–1750);Wie schön leuchtet der Morgenstern;BWV 1;Chorale cantata (Annunciation Day [25 March]);S*S*, T*, B*, S, A, T, B, Cr, Ob da cac, Vl conc, Vl, Va, Bc,;;Link to lyrics;"Text: Philipp Nicolai (1559); stanzas 2-6 (mvt. 2-5) reworked (author unknown)";BGBG, 1, S. 1 (M. Hauptmann, 1851) –;Übernahme von www.bach.gwdg.de;25 March 172525 March 1725, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000001?lang=en
Bach, Johann Sebastian (1685–1750);Ach Gott, vom Himmel sieh darein;BWV 2;Chorale cantata (2nd Sunday after Trinity);A*A*, T*, B*, S, A, T, B, Tbne, Ob, Vl, Va, Bc,;;Link to lyrics;"Text: Martin Luther (1524); after Psalm 12; stanzas 2-5 (mvts. 2-5) reworked (author unknown)";NBANBA, I/16, S. 81 (George S. Bozarth, 1981) – Critical report (1984), S. 71;Übernahme von www.bach.gwdg.de;18 June 172418 June 1724, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000002?lang=en
Bach, Johann Sebastian (1685–1750);Ach Gott, wie manches Herzeleid;BWV 3;Chorale cantata (2nd Sunday of Epiphany);S*S*, A*, T*, B*, S, A, T, B, Cr, Tbne, Ob d’am, Vl, Va, Bc,;;Link to lyrics;"Text: Martin Moller (1587); stanzas 3-16 (mvts. 2-5) reworked (author unknown)";NBANBA, I/5, S. 189 (Marianne Helms, 1975) – Critical report (1976), S. 165;Übernahme von www.bach.gwdg.de;14 January 172514 January 1725, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000003?lang=en
Bach, Johann Sebastian (1685–1750);Christ lag in Todes Banden (Leipzig version);BWV 4;Chorale cantata (1st Easter Day);S*S*, A*, T*, B*, S, A, T, B, Cto, Tbne, Vl, Va, Bc,;;Link to lyrics;Lit.: Dürr St 2, S. 20, 167;NBANBA, I/9, S. 1 (Alfred Dürr, 1985) – Critical report (1986), S. 13;Übernahme von www.bach.gwdg.de;9 April 17249 April 1724, 1 April 1725, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000004?lang=en
Bach, Johann Sebastian (1685–1750);Christ lag in Todes Banden (early version);BWV 4;Chorale cantata (1st Easter Day);S*S*, A*, T*, B*, S, A, T, B, Vl, Va, Bc,;;Link to lyrics;"EA wahrscheinlich 24. April 1707 anlässlich der Organistenprobe in der Kirche Divi Blasii zu Mühlhausen (Wolff 2000, Zehnder 2009). Keine Originalquellen überliefert. Über Besetzung, Werkgestalt und Stimmtonhöhe kann nur gemutmaßt werden; möglicherweise wurde der erste Chorsatz mit dem Text der letzten Strophe (Vers 7) als Schluss-Satz (Satz 8) wiederholt.";NBANBA, I/9, -- (Alfred Dürr, 1985) –;Übernahme von www.bach.gwdg.de;24 April 170724 April 1707;https://www.bach-digital.de/receive/BachDigitalWork_work_00000005?lang=en
Bach, Johann Sebastian (1685–1750);Wo soll ich fliehen hin;BWV 5;Chorale cantata (19th Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Tr da tir, Ob, Vl, Va, Bc,;;Link to lyrics;"Text: Johann Heermann (1630); stanza 2-10 (mvts. 2-6) reworked (author unknown)";NBANBA, I/24, S. 133 (Matthias Wendt, 1990) – Critical report (1991), S. 125;Übernahme von www.bach.gwdg.de;15 October 172415 October 1724, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000006?lang=en
Bach, Johann Sebastian (1685–1750);Bleib bei uns, denn es will Abend werden;BWV 6;Sacred cantata (2nd Easter Day);S*S*, A*, T*, B*, S, A, T, B, Ob, Ob da cac, Vl, Va, Vc picc, Bc,;;Link to lyricsNikolaus Selnecker (1530-1592);Text:;NBANBA, I/10, S. 43 (Alfred Dürr, 1955) – Critical report (1955), S. 33;Übernahme von www.bach.gwdg.de;2 April 17252 April 1725, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000007?lang=en
Bach, Johann Sebastian (1685–1750);Christ, unser Herr, zum Jordan kam;BWV 7;Chorale cantata (Birth of John the Baptist [24 June]);A*A*, T*, B*, S, A, T, B, Ob d’am, Vl conc, Vl, Va, Bc,;;Link to lyrics;"Text: Martin Luther (1541); stanzas 2-6 (mvts. 2-6) reworked (author unknown)";NBANBA, I/29, S. 25 (Frieder Rempp, 1982) – Critical report (1984), S. 34;Übernahme von www.bach.gwdg.de;24 June 172424 June 1724, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000008?lang=en
Bach, Johann Sebastian (1685–1750);Liebster Gott, wann werd ich sterben [1st version];BWV 8;Chorale cantata (16th Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Cr, Fl piccolo, Fl trav, Ob d’am, Vl, Va, Bc,;;Link to lyrics;"The final chorale ""Herrscher über Tod und Leben"" is based on a chorale by Daniel Vetter (""Musicalische Kirch- und Haus-Ergötzlichkeit"", part 2, 1713, No. 91).";NBANBA, I/23, S. 105 (Helmuth Osthoff, 1982) – Critical report (1984), S. 57;Übernahme von www.bach.gwdg.de;24 September 172424 September 1724, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000009?lang=en
Bach, Johann Sebastian (1685–1750);Liebster Gott, wann werd ich sterben [2nd version];BWV 8;Chorale cantata (16th Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Fl trav, Ob d’am, Vl conc, Vl, Va, Bc,;;Link to lyrics;"The final chorale ""Herrscher über Tod und Leben"" is based on a chorale by Daniel Vetter (""Musicalische Kirch- und Haus-Ergötzlichkeit"", part 2, 1713, no. 91).";NBANBA, I/23, S. 163 (Helmuth Osthoff, 1982) – Critical report (1984), S. 57;Übernahme von www.bach.gwdg.de;17 September 174717 September 1747, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000010?lang=en
